EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
3,1,2,2,0,1,1,0,0,12,kivi; narva; aivar; keraamika; savinõu
