EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,2,3,1,1,2,3,3,0,11,nukuteater; buratino; tolstoi; hääl; muuseum; ferdinand
2,2,3,1,1,2,3,3,0,11,nukuteater; buratino; tolstoi; hääl; muuseum; ferdinand
2,2,3,1,1,2,3,3,0,11,nukuteater; buratino; tolstoi; hääl; muuseum; ferdinand
2,2,3,1,1,2,3,3,0,11,nukuteater; buratino; tolstoi; hääl; muuseum; ferdinand
2,2,3,1,1,2,3,3,0,11,nukuteater; buratino; tolstoi; hääl; muuseum; ferdinand
2,2,3,1,1,2,3,3,0,11,nukuteater; buratino; tolstoi; hääl; muuseum; ferdinand
3,2,3,2,1,2,3,3,0,11,nukuteater; buratino; tolstoi; ferdinand; muuseum; hääl
1,1,2,2,1,3,3,3,0,11,nukuteater; buratino; tolstoi; hääl; muuseum; ferdinand
1,2,2,2,1,3,4,3,0,11,nukuteater; buratino; tolstoi; aleksei; muuseum; ferdinand
1,1,2,1,1,4,4,3,0,11,nukuteater; buratino; tolstoi; ferdinand; aleksei; muuseum
1,1,2,1,1,4,2,3,0,11,nukuteater; buratino; tolstoi; aleksei; muuseum; ferdinand
