EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,5,3,3,5,5,4,5,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,3,3,5,5,4,5,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,3,3,5,5,4,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,3,3,5,5,4,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,3,3,5,5,4,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,3,3,5,5,4,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,3,3,5,5,4,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,3,3,5,5,5,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,2,3,5,5,5,5,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,5,1,3,5,5,5,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
3,4,6,1,3,5,5,5,4,12,jõulud; rahuaeg; jaanuar; intensiivne; aasta; tegutsemisaeg
