EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
4,3,3,4,2,4,4,3,1,12,määrus; lausemall; öeldistäide; keelekasutaja
