EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
2,3,1,4,1,3,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,3,1,4,1,3,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,3,1,4,1,3,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,3,1,4,1,3,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,3,1,4,1,3,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,3,2,4,1,2,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
3,3,3,3,1,4,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,2,3,2,2,3,3,5,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
2,2,2,1,2,2,3,4,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
1,2,3,1,1,1,3,5,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
1,2,3,1,1,3,2,5,0,11,naisoboemängija; klassikatähed; inglissarv; ingeli; oboe
