EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,3,2,6,3,4,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
4,5,3,2,6,3,4,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
4,5,3,2,6,3,4,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
4,5,3,2,6,3,4,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
4,5,2,2,6,3,4,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
4,5,3,2,6,4,4,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
5,5,3,2,6,4,4,7,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
9,5,3,2,6,4,4,7,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
8,5,3,7,6,4,4,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
8,5,3,7,6,5,6,6,5,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
9,4,5,8,6,5,5,6,6,14,soolariiul; martin; tomusk; ilmar; tuba; uus; kõrvalised; maja; isikud; suhkrusaiapidu
