EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
4,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
4,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
4,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
4,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
4,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
4,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
4,5,5,1,4,4,3,5,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
5,5,5,3,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
5,5,3,5,4,4,3,4,6,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
5,5,4,5,3,4,3,5,3,13,üksinda; kanada; aasta; senjoriita; trump; jäähoki; kodus; popiidol
