EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,2,4,3,3,5,3,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,3,2,4,3,3,5,3,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,3,2,4,3,3,5,3,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,3,2,4,3,3,5,3,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,3,2,4,3,3,5,3,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
4,3,2,4,3,3,5,3,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,3,3,4,3,4,5,3,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
6,3,2,2,3,4,4,4,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
5,3,3,1,3,3,4,5,2,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
3,3,3,4,3,4,4,5,1,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
3,3,4,3,2,3,4,5,4,13,ants; riidaja; marika; taul; koolitus; soots; kodukohvik; turismitalu
