EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,7,6,5,7,5,5,6,6,20,konstantinoopoli; neitsi; patriarh; kristuse; johannes; kolmas; jumala; basiilika; sostumus; efesose; gregorius; peetruse
7,7,6,5,7,5,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,7,6,5,7,5,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,7,6,5,7,5,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,7,6,5,7,5,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,7,6,5,7,5,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,7,6,5,7,5,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
9,7,6,5,7,6,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
9,7,6,6,7,8,5,6,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,7,7,7,7,9,7,8,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
7,6,7,7,6,9,7,9,7,20,konstantinoopoli; neitsi; johannes; basiilika; sostumus; efesose; gregorius; patriarh; kristuse; kolmas; jumala; peetruse
