EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,5,5,5,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,5,5,5,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,6,5,5,5,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,5,6,5,5,5,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,5,6,5,5,5,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
6,5,8,5,5,5,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,8,5,5,5,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; uudised; meediatarbimise; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
7,5,7,5,5,5,7,7,6,14,kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; reklaamitulu; internet; tehnoloogia; dvd-plaadil
8,5,8,5,5,6,7,7,6,14,kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; reklaamitulu; internet; tehnoloogia; dvd-plaadil
8,5,8,6,4,6,7,7,6,14,dvd-plaadil; kommentaar; port; cbs; meediatarbimise; uudised; katsepolügoon; kristjan; internet; tehnoloogia; reklaamitulu
8,5,7,7,5,6,7,8,5,14,kommentaar; port; meediatarbimise; internet; dvd-plaadil; cbs; uudised; katsepolügoon; kristjan; tehnoloogia; reklaamitulu
