EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,2,5,2,2,1,4,2,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,2,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,4,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
4,3,2,5,2,2,1,4,3,14,kollektiiv; ehitusvalitsus; nõukogude; partei; plaan; kohustuseaasta
