EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,1,5,4,2,3,3,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,3,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,3,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,3,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,5,4,2,3,3,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
4,1,5,4,2,3,3,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
4,1,4,4,2,3,3,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
4,1,5,2,2,4,4,4,2,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
3,1,3,3,2,3,5,3,2,10,tähendus; sport; jalgpall; äri; ameerika; euroopa; võitlus; meedia
2,1,3,3,2,4,5,4,2,10,tähendus; sport; jalgpall; äri; ameerika; euroopa; võitlus; meedia
3,1,2,2,2,4,4,6,3,10,tähendus; jalgpall; euroopa; äri; ameerika; sport; võitlus; meedia
