EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,5,1,4,4,4,4,4,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
6,5,5,1,4,4,4,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
6,5,5,1,4,4,4,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
6,5,5,1,4,4,4,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
6,5,5,1,4,4,4,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
5,5,5,1,4,4,4,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
6,5,4,2,4,3,3,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; kesk-aasia; diktatuur; reisimine; autor
3,5,6,1,4,4,3,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
2,5,7,3,4,3,4,3,4,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
1,5,6,4,4,4,4,3,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
3,4,6,4,6,4,4,4,5,13,tõlge; jevgeni; reaalsusest; luuletaja; keskpärane; diktatuur; kesk-aasia; reisimine; autor
