EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
7,4,5,5,5,3,4,5,5,11,laine; elektron; marek; valgus; analoogantenn; füüsika; telekas; signaal
