EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,1,3,1,1,3,2,4,3,12,saal; akadeemia; tulemus; peaminister
1,1,3,1,1,3,2,4,3,12,saal; akadeemia; tulemus; peaminister
1,1,3,1,1,3,2,4,3,12,saal; akadeemia; tulemus; peaminister
1,1,3,1,1,3,2,4,3,12,saal; akadeemia; tulemus; peaminister
1,1,3,1,1,3,2,4,3,12,saal; akadeemia; tulemus; peaminister
1,1,3,1,1,3,2,4,3,12,saal; akadeemia; tulemus; peaminister
1,1,3,1,1,3,2,3,3,12,saal; akadeemia; tulemus; peaminister
1,1,2,1,1,3,2,3,3,12,saal; akadeemia; tulemus; peaminister
1,1,3,1,1,3,2,3,2,12,saal; akadeemia; tulemus; peaminister
0,1,3,1,1,3,2,3,3,12,saal; akadeemia; tulemus; peaminister
0,1,2,1,1,3,2,3,2,12,saal; akadeemia; tulemus; peaminister
