EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,2,3,1,0,2,2,3,5,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,2,3,1,0,2,2,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,2,3,1,0,2,2,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,2,3,1,0,2,2,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,2,3,1,0,2,2,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,2,3,1,0,2,2,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,2,3,1,0,2,2,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
6,2,3,1,0,2,2,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
4,2,3,2,0,2,1,3,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
1,2,3,2,0,3,3,5,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
2,2,3,2,0,2,1,4,6,13,lugema; heinsoo; hiiu; käär; merike; lili; lasteraamat
