EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,2,5,4,2,3,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,5,4,2,3,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,5,4,2,3,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,5,4,2,3,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,5,4,2,3,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,5,4,3,4,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
5,4,2,5,4,3,3,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
5,4,2,5,4,3,5,5,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,2,4,4,5,4,5,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
5,4,3,4,3,5,6,5,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
4,4,3,1,2,5,5,4,3,13,johan; isa; torm; ütlemata; ema; kon-tiki
