EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,3,5,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,6,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,6,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,5,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,5,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,5,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,6,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,6,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,5,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,5,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
3,3,3,5,7,4,5,7,2,12,martin; vangla; nurk; raamat; kirjade; sidepidamine; ämber; võitlus
