EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,4,1,1,4,4,1,4,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,4,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,4,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,4,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,4,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,5,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,5,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,5,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,5,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,5,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
5,3,4,1,1,4,4,1,5,12,lill; koit; friedrich; huul; päike; faehlmann; taevas; lind; hämarik
