EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
4,4,5,4,4,5,6,5,2,11,aeg; organisatsioon; süsteem; heategevus; vaba; kingitus; õnnetunne; jõulurõõm; tegutsemisaeg
