EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,9,3,2,2,3,5,4,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,4,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,4,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,4,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,4,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,5,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,5,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,5,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,5,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,5,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
4,4,9,3,2,2,3,5,5,13,meediatarbimine; aeg; raadiojaam; tele; tehnoloogia; port; uudis; kristjan; internet; päev
