EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,2,5,2,4,4,4,7,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,7,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
3,5,2,5,2,4,4,4,6,11,raudtee; etendus; nutune; sugulane; reino; jaan; kruusvall; vastik; lahkumisavaldus; unimüts
