EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
4,4,7,2,5,3,9,4,5,11,kineskooptelekas; strandberg; antenn; marek; vasak; signaal; alar; valgus; elektronkiir
