EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
5,3,3,5,0,5,6,4,5,15,lasmann; piret; peeter; kriivan; rõõm; toomas; põlendik; kadri; jürgens; meesnäitleja; enesekindlus; tõnu
