EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
3,3,4,1,1,5,7,3,3,13,misjon; paavst; issand; johannes; püha; jumal; troon; kolmas; gregorius
