EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,6,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,2,3,5,6,1,5,13,martin; leib; ilmar; tomusk; isik; pius; märt; isa; sool; ema; kõrvaline; pannkook
1,3,3,1,3,5,6,1,5,13,martin; kõrvaline; ilmar; tomusk; isik; pius; märt; isa; sool; ema; leib; pannkook
1,3,3,2,3,5,6,1,5,13,martin; kõrvaline; ilmar; tomusk; isik; pius; märt; isa; sool; ema; leib; pannkook
