EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
6,7,6,6,7,5,7,6,5,13,martin; salaja; noorsooühing; vangla; nurk; sidepidamine; kommunistlik; ämber; ajaleht; aasta; raamat; kiri
