EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,4,3,4,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,3,4,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,3,4,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,3,4,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,3,4,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,3,4,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,3,4,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,4,3,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,4,3,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,4,3,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
6,4,4,3,1,2,3,3,0,10,laulusõna; suvepäev; akordion; noor; vana; lõuna-eesti; pillimäng; pillimees; tants
