EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,4,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
5,2,3,4,3,2,2,4,5,11,aktiivne; mendelejev; klaas; muldmetall; plastik; eerik; neodüüm; tabel; mart; valgus
