EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,1,10,koor; traditsioon; saatja; repertuaar; noor
1,2,3,2,4,3,4,0,2,10,koor; traditsioon; saatja; repertuaar; noor
