EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,2,4,3,1,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,4,3,1,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,4,3,1,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,4,3,1,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,4,3,1,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,4,3,1,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,3,3,1,2,1,3,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,3,3,1,2,1,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
5,2,4,2,1,2,2,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
4,2,4,2,1,2,2,4,1,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
4,2,4,2,1,2,3,3,2,12,lasteporno; tarkus; tsensuur; port; seadusalgatus; internetiteenus; kristjan; lamar; jälitamiskohustus; mccain
