EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
5,6,6,3,1,4,4,6,5,11,ettekujutus; õppimine; peegel; muutuma; nägemus; enesetunnetus; sisemus; arvamus; täiskasvanu; tooming
