EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
4,2,4,5,3,3,5,2,2,10,säuts; ajutine; koer; õpilane; haridus; määrus
