EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
4,3,2,2,2,3,4,3,4,10,vabadus; varandus; õigus; kompensatsioon; kolhoos; aktsia; talu
