EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
1,3,2,0,0,3,1,3,2,11,külaline; eesti; maastik; austraalia; ludwig; asundus; hoolitsemine
1,3,2,0,0,3,1,3,2,11,külaline; eesti; maastik; austraalia; ludwig; asundus; hoolitsemine
1,3,2,0,0,3,1,3,2,11,külaline; eesti; maastik; austraalia; ludwig; asundus; hoolitsemine
1,3,2,0,0,3,1,3,3,11,külaline; eesti; maastik; austraalia; ludwig; asundus; hoolitsemine
1,3,1,0,0,3,1,3,3,11,külaline; maastik; austraalia; eesti; ludwig; asundus; hoolitsemine
1,3,1,0,0,3,1,2,3,11,külaline; maastik; austraalia; eesti; ludwig; asundus; hoolitsemine
1,3,1,0,0,3,1,3,3,11,külaline; maastik; austraalia; eesti; ludwig; asundus; hoolitsemine
1,3,2,0,0,4,0,2,3,11,külaline; maastik; austraalia; eesti; ludwig; asundus; hoolitsemine
2,3,2,2,0,3,0,3,3,11,külaline; maastik; austraalia; eesti; ludwig; asundus; hoolitsemine
2,3,2,1,0,3,0,3,3,11,külaline; maastik; austraalia; eesti; ludwig; asundus; hoolitsemine
2,3,2,1,1,3,0,2,4,11,külaline; eesti; maastik; austraalia; ludwig; asundus; hoolitsemine
