EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
3,4,9,4,0,4,6,5,5,10,teadus; teadlane; akadeemia; rahvusvaheline; valitsus; iseseisvuspäev; tulemus; õpe; riigikogu; väljapaistev
