EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,5,3,2,4,5,4,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,6,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,6,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,6,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,6,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,6,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
4,4,5,3,2,4,5,4,7,11,washington; teistmoodi; autoriteet; nurk; seadus; väärtus; alandlikkus; ohtlik; heino; käsuõpetus
