EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
8,4,7,4,1,5,6,3,4,10,september; vikerhommik; rokkmuusika; vaikus; kool; popmuusika; muusika; tõnis; hommikuinimene; laul
