EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,2,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,3,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,3,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
3,4,2,1,1,2,3,1,3,11,olümpia; andres; uunikum; muusika; freddie; barcelona; mercury
