word;upos;ner tag;count;stopword
tere;INTJ;O;1;yes
,;PUNCT;O;116;no
eikellegimaal;NOUN;O;3;no
avatud;ADJ;O;1;no
muusikasaade;NOUN;O;1;no
ongi;AUX;O;1;no
alanud;VERB;O;1;no
ehkki;SCONJ;O;1;yes
selle;DET;O;5;yes
saate;NOUN;O;2;yes
peategelane;NOUN;O;1;no
noh;INTJ;O;1;yes
see;PRON;O;18;yes
oleks;AUX;O;20;yes
ehk;ADV;O;9;yes
siis;ADV;O;14;yes
seesuguse;DET;O;3;yes
nime;NOUN;O;5;no
all;ADP;O;1;yes
esinev;ADJ;O;1;no
hollandlanna;NOUN;O;1;no
Elizabeth;PROPN;O;11;no
Esselink;PROPN;O;1;no
on;VERB;O;2;yes
alles;ADV;O;1;yes
hakkamas;VERB;O;1;yes
mängima;VERB;O;1;no
meile;PRON;O;1;yes
oma;PRON;O;13;yes
paremaid;ADJ;O;1;no
palasid;NOUN;O;2;no
.;PUNCT;O;65;no
õieti;ADV;O;2;no
on;AUX;O;22;yes
küll;ADV;O;8;yes
nii;ADV;O;10;yes
nagu;SCONJ;O;11;yes
nüüd;ADV;O;5;yes
alati;ADV;O;2;yes
et;SCONJ;O;10;yes
tegelikult;ADV;O;9;no
mängin;VERB;O;1;no
ära;ADV;O;4;yes
valitud;VERB;O;1;no
ei;ADV;O;3;yes
kellelegi;PRON;O;9;yes
muusikalugusid;NOUN;O;1;no
ja;CCONJ;O;36;yes
laule;NOUN;O;2;no
teile;PRON;O;1;yes
ette;ADV;O;2;yes
mina;PRON;O;5;yes
kes;PRON;O;8;yes
ma;PRON;O;6;yes
olen;AUX;O;1;yes
tiit;NOUN;O;1;no
kus;ADV;O;7;yes
nad;PRON;O;2;yes
valides;VERB;O;1;no
muusikat;NOUN;O;1;no
täna;ADV;O;2;no
sooleksi;VERB;O;2;no
kahelt;DET;O;1;no
kelmikalt;ADV;O;2;no
albumilt;NOUN;O;1;no
aastaist;NOUN;O;1;no
1990;NUM;O;1;no
800;NUM;O;1;no
99;X;O;1;no
armikas;ADJ;O;1;no
pop;NOUN;O;1;no
jääbki;VERB;O;1;no
kõlama;VERB;O;1;no
kuni;ADP;O;1;yes
tunni;NOUN;O;1;no
lõpuni;NOUN;O;1;no
järgmised;ADJ;O;1;yes
kolm;NUM;O;1;no
minutit;NOUN;O;1;no
kallavad;VERB;O;1;no
super;NOUN;O;1;no
Luity;PROPN;O;1;no
sest;SCONJ;O;5;yes
neile;PRON;O;1;yes
andnud;VERB;O;2;no
sooleks;ADJ;O;6;no
superflööti;NOUN;O;1;no
tiitli;NOUN;O;1;no
oli;AUX;O;5;yes
esimesele;ADJ;O;1;no
tänasele;ADJ;O;1;no
palale;NOUN;O;1;no
madal;ADJ;O;4;no
maalanna;NOUN;O;3;no
Esseling;PROPN;O;1;no
ehk;CCONJ;O;7;yes
tegemist;NOUN;O;1;no
balannaga;NOUN;O;1;no
kelmika;ADJ;O;1;no
üsna;ADV;O;3;yes
tütarlapseliku;ADJ;O;2;no
naiivsevõitu;NOUN;O;1;no
heas;ADJ;O;1;no
mõttes;NOUN;O;1;no
muusikalist;ADJ;O;1;no
palet;NOUN;O;1;no
näitava;ADJ;O;1;no
daamiga;NOUN;O;1;no
ei;AUX;O;8;yes
või;AUX;O;1;yes
teps;ADV;O;4;no
mitte;ADV;O;7;yes
päris;ADV;O;4;yes
kindel;ADJ;O;1;no
olla;AUX;O;5;yes
need;DET;O;2;yes
lugude;NOUN;O;3;no
pealiskirjad;NOUN;O;1;no
nimed;NOUN;O;1;no
mõnedki;DET;O;1;no
kummastavad;ADJ;O;1;no
väljendid;NOUN;O;1;no
nende;DET;O;1;yes
tekstides;NOUN;O;1;no
oleksid;AUX;O;2;yes
või;CCONJ;O;10;yes
koosneksid;VERB;O;1;no
vanadest;ADJ;O;1;no
mis;PRON;O;9;yes
ka;ADV;O;11;yes
näiteks;ADV;O;1;no
inglise;ADJ;O;3;no
keeles;NOUN;O;2;no
mida;PRON;O;4;yes
enamasti;ADV;O;2;no
tarvitab;VERB;O;1;no
päriselt;ADV;O;2;no
olemas;VERB;O;2;yes
Elizabethist;PROPN;O;2;no
ning;CCONJ;O;4;yes
mängib;VERB;O;2;no
keelega;NOUN;O;1;no
tekstiga;NOUN;O;1;no
moel;NOUN;O;2;no
sama;ADV;O;2;yes
meelsasti;ADV;O;1;no
ta;PRON;O;9;yes
muusikaliste;ADJ;O;1;no
helidega;NOUN;O;1;no
tihtipeale;ADV;O;5;no
