word;upos;ner tag;count;stopword
oleme;AUX;O;4;yes
nüüd;ADV;O;9;yes
saatesarjaga;NOUN;O;1;no
,;PUNCT;O;237;no
need;PRON;O;6;yes
kuumad;ADJ;O;2;no
kuuekümnendad;ADJ;O;2;no
umbes;ADV;O;1;yes
poole;NUM;O;1;yes
peal;ADP;O;1;yes
ja;CCONJ;O;86;yes
ansambel;NOUN;O;10;no
seal;ADV;O;8;yes
peidus;ADV;O;1;no
on;AUX;O;30;yes
jõudnud;VERB;O;5;no
oma;PRON;O;20;yes
tegemistes;NOUN;O;1;no
nii;ADV;O;19;yes
kaugele;ADV;O;1;no
kus;ADV;O;12;yes
kuumus;NOUN;O;1;no
muutub;VERB;O;1;no
tõepoolest;ADV;O;1;no
juba;ADV;O;16;yes
talumatuks;ADJ;O;1;no
.;PUNCT;O;270;no
maania;NOUN;O;2;no
saab;VERB;O;2;yes
sisse;ADV;O;5;yes
täie;ADJ;O;1;no
oo;NOUN;O;1;yes
ringreisid;NOUN;O;1;no
Ameerikas;PROPN;O;10;no
ning;CCONJ;O;9;yes
Euroopas;PROPN;O;1;no
viivad;VERB;O;1;no
menuga;NOUN;O;1;no
hämmingusse;NOUN;O;1;no
ka;ADV;O;38;yes
kõige;ADV;O;3;yes
kindlamad;ADJ;O;1;no
poolehoidjad;NOUN;O;1;no
aasta;NOUN;O;10;no
1963;NUM;O;2;no
massipsühhoos;NOUN;O;1;no
biitmuusikas;NOUN;O;1;no
saavutanud;VERB;O;1;no
ennenägematud;ADJ;O;1;no
mõõtmed;NOUN;O;1;no
kõigest;DET;O;1;yes
sellest;PRON;O;6;yes
lähemalt;ADV;O;1;no
kuuletegi;VERB;O;1;no
järgmise;ADJ;O;1;yes
tunni;NOUN;O;2;no
jooksul;ADP;O;3;yes
jällegi;ADV;O;2;no
Vello;PROPN;O;2;no
Salumetsa;PROPN;O;1;no
Ivo;PROPN;O;3;no
Linna;PROPN;O;1;no
vahendusel;NOUN;O;1;no
Miilil;PROPN;O;2;no
algas;VERB;O;1;no
Briti;PROPN;O;2;no
saartel;NOUN;O;1;no
oktoobris;NOUN;O;1;no
1963.;ADJ;O;6;no
aastal;NOUN;O;6;no
haaras;VERB;O;1;no
kolme;NUM;O;1;no
kogu;DET;O;6;yes
maailma;NOUN;O;3;no
teismeliste;NOUN;O;1;no
seas;ADP;O;1;yes
käis;VERB;O;3;no
lakkamatu;ADJ;O;2;no
