word;upos;ner tag;count;stopword
Kammerkoorile;PROPN;O;1;no
ellerhein;NOUN;O;1;no
ja;CCONJ;O;68;yes
tema;PRON;O;3;yes
dirigendile;NOUN;O;1;no
Tõnu;PROPN;O;1;no
Kaljuste;PROPN;O;1;no
on;AUX;O;40;yes
põhjust;NOUN;O;2;no
praegu;ADV;O;1;yes
kolm;NUM;O;2;no
korda;NOUN;O;1;no
hüüda;VERB;O;1;no
.;PUNCT;O;127;no
hurraa;NOUN;O;1;yes
,;PUNCT;O;190;no
sest;SCONJ;O;7;yes
te;PRON;O;2;yes
tulite;VERB;O;1;yes
Ungarist;PROPN;O;2;no
rahvusvaheliselt;ADV;O;1;no
laulukonkursilt;NOUN;O;1;no
tagasi;ADV;O;2;yes
kolmekordselt;ADV;O;1;no
pärjatutena;NOUN;O;1;no
kuidas;ADV;O;4;yes
oli;AUX;O;57;yes
see;PRON;O;21;yes
teie;PRON;O;2;yes
sinna;ADV;O;8;yes
sattumine;NOUN;O;1;no
üldse;ADV;O;8;no
millal;ADV;O;1;yes
saite;AUX;O;1;yes
teada;VERB;O;1;no
et;SCONJ;O;50;yes
teil;PRON;O;4;yes
niisugune;DET;O;5;yes
võimalus;NOUN;O;2;no
?;PUNCT;O;10;no
sattusime;VERB;O;3;no
tänu;ADP;O;1;yes
sellele;PRON;O;1;yes
Teaduste;PROPN;O;2;no
Akadeemia;PROPN;O;2;no
meeskoor;NOUN;O;1;no
ütles;VERB;O;1;no
sellest;DET;O;2;yes
kutsest;NOUN;O;1;no
ära;ADV;O;6;yes
kuna;SCONJ;O;3;yes
samal;DET;O;1;yes
ajal;NOUN;O;2;no
laulupidu;NOUN;O;1;no
meil;PRON;O;3;yes
Arvo;PROPN;O;2;no
Ratassepp;PROPN;O;1;no
tegi;VERB;O;1;yes
ettepaneku;NOUN;O;3;no
meie;PRON;O;20;yes
tundsime;VERB;O;2;no
omalt;PRON;O;2;yes
poolt;ADV;O;3;yes
ka;ADV;O;14;yes
huvi;NOUN;O;1;no
muidugi;ADV;O;7;yes
selle;DET;O;3;yes
festivali;NOUN;O;6;no
vastu;ADP;O;1;yes
aga;CCONJ;O;23;yes
siis;ADV;O;28;yes
andis;VERB;O;5;no
nagu;SCONJ;O;20;yes
kutse;NOUN;O;2;no
meelekevadel;NOUN;O;1;no
aprilli;NOUN;O;1;no
paiku;ADP;O;2;yes
päris;ADV;O;2;yes
kindel;ADJ;O;1;no
sõidame;VERB;O;3;no
Festival;NOUN;O;1;no
üheksas;ADJ;O;1;no
oma;PRON;O;17;yes
korralduselt;NOUN;O;1;no
kannataja;NOUN;O;1;no
nimetust;NOUN;O;1;no
Peela;PROPN;O;6;no
päratabki;VERB;O;1;no
nimeline;ADJ;O;2;no
rahvusvaheline;ADJ;O;1;no
koorifestival;NOUN;O;1;no
neid;PRON;O;6;yes
korraldatakse;VERB;O;1;no
üle;ADP;O;4;yes
aasta;NOUN;O;5;no
konkursi;NOUN;O;4;no
näol;ADP;O;1;no
festivalidele;NOUN;O;1;no
see;DET;O;5;yes
olime;AUX;O;3;yes
konkursil;NOUN;O;5;no
muidu;ADV;O;1;yes
eesti;ADJ;O;4;no
kooridest;NOUN;O;1;no
partabki;VERB;O;4;no
nimelisel;ADJ;O;1;no
festivalil;NOUN;O;3;no
käinud;VERB;O;4;no
just;ADV;O;5;yes
nimelt;ADV;O;1;no
koorijuhtide;NOUN;O;1;no
segakoor;NOUN;O;1;no
naiskoor;NOUN;O;3;no
konkursist;NOUN;O;2;no
osa;NOUN;O;4;no
võtnud;VERB;O;1;no
koolidest;NOUN;O;1;no
antseedi;NOUN;O;1;no
juhatatud;ADJ;O;1;no
Üliõpilassega;PROPN;O;1;no
nii;ADV;O;28;yes
olite;AUX;O;1;yes
neljas;ADJ;O;2;no
koorele;NOUN;O;1;no
või;CCONJ;O;6;yes
koodis;NOUN;O;1;no
seal;ADV;O;40;yes
käis;VERB;O;1;no
aga;ADV;O;3;yes
teine;PRON;O;1;yes
kursis;NOUN;O;1;no
konkurss;NOUN;O;4;no
osalesime;VERB;O;1;no
kammerkoori;NOUN;O;1;no
kategoorias;NOUN;O;5;no
kus;ADV;O;6;yes
kohustuslikud;ADJ;O;1;no
lood;NOUN;O;1;no
partoki;NOUN;O;1;no
seatud;ADJ;O;1;no
rahvalaulud;NOUN;O;2;no
kaks;NUM;O;5;no
tükki;NOUN;O;1;no
osavõtjaid;NOUN;O;1;no
kammerkoorikonkursist;NOUN;O;1;no
koos;ADP;O;2;yes
meiega;PRON;O;2;yes
kuus;NOUN;O;1;no
jäeti;VERB;O;1;no
eelvõistluse;NOUN;O;1;no
kohe;ADV;O;4;yes
finaalid;NOUN;O;1;no
need;PRON;O;6;yes
lauldi;VERB;O;1;no
kohustusliku;ADJ;O;2;no
laulu;NOUN;O;2;no
järjest;ADV;O;1;no
pluss;NOUN;O;2;no
enda;PRON;O;7;yes
valikul;NOUN;O;1;no
tehtud;ADJ;O;3;yes
programm;NOUN;O;1;no
kaheksa;NUM;O;2;no
minuti;NOUN;O;2;no
ulatuses;NOUN;O;1;no
laval;NOUN;O;2;no
me;PRON;O;15;yes
ainult;ADV;O;6;yes
kuskil;ADV;O;3;yes
11;NUM;O;2;no
