word;upos;ner tag;count;stopword
tere;INTJ;O;1;yes
,;PUNCT;O;80;no
tegullede;NOUN;O;1;no
mulgi;ADJ;O;2;no
uudiseid;NOUN;O;1;no
.;PUNCT;O;24;no
seekord;ADV;O;1;yes
kõneleme;VERB;O;1;no
sellest;PRON;O;1;yes
kuidas;ADV;O;4;yes
kaitse;NOUN;O;1;no
hakkajat;NOUN;O;1;no
noort;ADJ;O;1;no
inimest;NOUN;O;1;no
oma;PRON;O;4;yes
hakanud;VERB;O;1;yes
Illiksem;PROPN;O;1;no
külan;VERB;O;1;no
kohvibuti;NOUN;O;1;no
pidame;VERB;O;1;no
Valgamaal;PROPN;O;1;no
põdrale;NOUN;O;1;no
vallandillyksen;NOUN;O;1;no
Riidaja;PROPN;O;2;no
küla;NOUN;O;1;no
on;AUX;O;16;yes
kuna;SCONJ;O;2;yes
ei;AUX;O;3;yes
ole;AUX;O;1;yes
juba;ADV;O;3;yes
palju;ADV;O;5;yes
aastaid;NOUN;O;2;no
kohvi;NOUN;O;1;no
buti;NOUN;O;1;no
ega;CCONJ;O;1;yes
kõrtsiollu;NOUN;O;1;no
omlid;VERB;O;1;no
valla;NOUN;O;2;no
uus;ADJ;O;1;no
kodukohvik;NOUN;O;1;no
mäekoda;NOUN;O;1;no
seda;PRON;O;2;yes
peab;VERB;O;2;yes
Marika;PROPN;O;2;no
Soots;PROPN;O;1;no
ja;CCONJ;O;23;yes
Kaido;PROPN;O;3;no
soolate;NOUN;O;1;no
tähenduses;NOUN;O;1;no
päevas;NOUN;O;1;no
saame;VERB;O;1;yes
enamjagu;NOUN;O;1;no
omakandi;ADV;O;1;no
inimesi;NOUN;O;1;no
hulka;NOUN;O;1;yes
võõrid;NOUN;O;1;no
kahtyllykse;NOUN;O;1;no
kohvipoodi;NOUN;O;1;no
käte;NOUN;O;1;no
Leidan;PROPN;O;1;no
tekkunum;ADJ;O;1;no
esiti;ADV;O;1;no
püsikundede;NOUN;O;2;no
kes;PRON;O;3;yes
hindame;VERB;O;1;no
pererahva;NOUN;O;1;no
lahkust;NOUN;O;1;no
perenaise;NOUN;O;1;no
enda;PRON;O;1;yes
tõttu;ADP;O;1;yes
häid;ADJ;O;1;no
sööke;NOUN;O;1;no
mess;NOUN;O;1;no
pärast;ADP;O;3;yes
tulli;VERB;O;1;no
Marikal;PROPN;O;1;no
Kaidol;PROPN;O;1;no
mõtte;NOUN;O;1;no
mõisa;NOUN;O;1;no
vanasse;ADJ;O;1;no
piima;NOUN;O;1;no
kööki;NOUN;O;2;no
kodukohvik-deta;NOUN;O;1;no
kõneleb;VERB;O;1;no
nüüd;ADV;O;2;yes
peremees;NOUN;O;1;no
soolete;NOUN;O;1;no
esi;NOUN;O;2;no
too;PRON;O;1;yes
oli;AUX;O;3;yes
tagasi;ADV;O;1;yes
kui;SCONJ;O;2;yes
vaatasime;VERB;O;1;no
maja;NOUN;O;3;no
nii;ADV;O;1;yes
rääma;NOUN;O;1;no
lännu;NOUN;O;1;no
et;SCONJ;O;12;yes
tollega;PRON;O;1;yes
lapsepõlvekodu;NOUN;O;1;no
tahtsin;VERB;O;1;no
nagu;SCONJ;O;7;yes
omale;PRON;O;1;yes
mõtleme;VERB;O;1;no
siin;ADV;O;3;yes
kohvikute;NOUN;O;1;no
ette;ADP;O;1;yes
siis;ADV;O;9;yes
saigi;AUX;O;1;no
ära;ADV;O;1;yes
teostitud;VERB;O;1;no
seedimine;NOUN;O;1;no
aste;NOUN;O;1;no
lännu;ADJ;O;1;no
esimene;ADJ;O;1;no
