EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,9,8,5,6,7,9,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,5,9,8,5,6,7,9,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,5,9,8,6,6,7,9,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,5,9,8,7,6,8,9,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,5,9,8,8,6,8,9,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
8,7,8,8,8,8,8,9,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,7,9,9,7,9,7,9,0,10,jalgpall; ameerika; võistlus; sõda; võit; mees; sport; naine; meedia
7,7,7,8,7,9,9,8,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,6,7,6,6,9,8,8,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,7,7,6,6,9,7,7,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
7,7,7,6,5,8,8,8,0,10,jalgpall; ameerika; sõda; võistlus; võit; mees; sport; naine; meedia
