EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,5,4,1,3,7,5,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
6,6,6,4,1,3,7,5,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
8,6,6,4,1,4,8,5,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
8,6,6,4,1,4,8,5,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
8,6,5,4,3,6,8,5,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
7,5,5,4,3,5,7,4,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
3,5,6,5,7,5,7,4,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
4,5,7,4,8,6,8,4,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
5,4,6,5,7,5,6,5,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
4,5,7,6,8,7,5,4,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
3,4,6,6,6,6,5,4,0,12,laps; nennike; anni; betti; pärtel; kreem; rätsep; sass
