EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,5,2,4,4,3,0,12,portaal; nobeli; port; armutu; kristjan
5,4,4,5,2,4,4,3,0,12,portaal; nobeli; port; armutu; kristjan
5,4,4,5,2,4,5,3,0,12,portaal; nobeli; port; armutu; kristjan
5,4,4,5,4,4,5,3,0,12,portaal; nobeli; port; armutu; kristjan
5,4,5,5,4,4,4,3,0,12,portaal; nobeli; port; armutu; kristjan
4,4,5,5,4,4,4,3,0,12,portaal; nobeli; port; armutu; kristjan
4,4,5,5,4,5,4,3,0,12,portaal; nobeli; port; armutu; kristjan
4,4,5,4,5,5,4,3,0,12,portaal; nobeli; port; armutu; kristjan
4,4,5,4,5,5,5,3,0,12,portaal; nobeli; port; armutu; kristjan
4,3,5,5,4,5,5,4,0,12,portaal; nobeli; port; armutu; kristjan
4,3,5,5,5,5,5,5,0,12,portaal; nobeli; port; armutu; kristjan
