EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,6,7,6,3,6,6,6,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
9,7,7,6,3,6,6,6,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
8,7,8,6,4,6,7,6,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
9,6,8,7,4,6,7,6,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
9,5,8,7,4,6,8,6,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
8,5,7,7,4,7,8,6,0,11,eesti; hoolitsemine; maastik; meeleliigutus; austraalia; kanakasvataja; ludwig; asundus; külaline
6,6,8,6,5,6,7,6,0,11,eesti; hoolitsemine; maastik; austraalia; kanakasvataja; meeleliigutus; ludwig; asundus; külaline
8,5,8,5,7,6,7,7,0,11,eesti; hoolitsemine; maastik; austraalia; kanakasvataja; meeleliigutus; ludwig; asundus; külaline
8,5,9,6,6,7,7,7,0,11,eesti; hoolitsemine; maastik; austraalia; kanakasvataja; meeleliigutus; ludwig; asundus; külaline
8,5,7,7,5,6,7,7,0,11,eesti; hoolitsemine; maastik; austraalia; kanakasvataja; meeleliigutus; ludwig; asundus; külaline
8,5,7,7,5,7,7,6,0,11,eesti; hoolitsemine; maastik; austraalia; kanakasvataja; meeleliigutus; ludwig; asundus; külaline
