EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,7,7,3,4,7,6,0,14,parts; liivrand; koalitsioon; mälberg; hansapanga; mall; välisminister; juhan; harry; aktsia; tuumarelv
3,5,7,7,3,4,7,6,0,14,parts; liivrand; koalitsioon; mälberg; hansapanga; mall; välisminister; juhan; harry; aktsia; tuumarelv
4,5,7,7,3,5,7,6,0,14,parts; liivrand; tuumarelv; mälberg; hansapanga; mall; välisminister; juhan; harry; aktsia; koalitsioon
6,4,8,7,3,5,7,6,0,14,parts; liivrand; koalitsioon; mälberg; hansapanga; mall; välisminister; juhan; harry; aktsia; tuumarelv
6,4,8,7,4,6,9,6,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
4,4,9,10,6,7,8,6,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
7,6,9,6,7,6,8,6,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
5,7,9,6,8,10,6,5,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
6,7,8,6,8,11,7,9,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
4,6,6,6,7,7,7,9,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
3,5,8,6,7,8,7,10,0,14,liivrand; mälberg; mall; juhan; aktsia; koalitsioon; parts; hansapanga; välisminister; harry; tuumarelv
