EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,4,3,3,2,2,2,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
5,4,3,4,2,3,2,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
5,4,3,4,2,3,2,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
5,5,4,4,3,3,3,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
6,5,2,4,5,4,3,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
6,5,3,5,5,4,5,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
4,4,3,5,5,5,5,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
2,3,3,4,5,5,6,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,4,4,5,6,3,6,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,3,4,3,4,6,4,5,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
3,2,6,3,5,6,3,4,0,13,sonaat; vene; rumessen; muusika; jõud; vardo
