EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,5,7,6,7,5,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
7,5,7,6,7,5,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
7,5,6,6,7,5,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
7,5,7,6,7,5,6,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
7,5,7,6,7,6,7,6,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
6,4,7,6,7,6,7,6,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
6,4,7,6,7,7,7,6,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
5,5,6,6,7,7,7,6,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
6,5,5,6,7,7,6,6,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
5,5,5,6,7,7,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
5,6,5,7,7,7,7,7,0,11,jakobson; kreutzwald; rahvajutt; eesti; raamat; inimene; mulgi
