EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,7,6,3,9,9,7,0,13,laimre; graafika; tudengifilm; tartu; anders; aleksander; poliitiline; kunstihoone; härm; kuraator
9,8,7,6,3,9,9,7,0,13,laimre; graafika; tudengifilm; tartu; anders; aleksander; poliitiline; kunstihoone; härm; kuraator
9,8,8,7,3,9,9,6,0,13,laimre; graafika; tudengifilm; tartu; anders; aleksander; poliitiline; kunstihoone; härm; kuraator
9,8,7,7,3,9,9,6,0,13,laimre; graafika; tudengifilm; tartu; anders; aleksander; poliitiline; kunstihoone; härm; kuraator
9,7,8,7,3,9,9,6,0,13,laimre; graafika; tudengifilm; tartu; anders; aleksander; poliitiline; kunstihoone; härm; kuraator
7,7,7,7,4,5,8,6,0,13,laimre; graafika; kuraator; härm; tudengifilm; tartu; aleksander; poliitiline; kunstihoone; anders
7,7,7,7,6,5,7,7,0,13,laimre; graafika; kuraator; härm; tudengifilm; tartu; anders; aleksander; poliitiline; kunstihoone
5,7,7,6,8,5,7,7,0,13,laimre; graafika; härm; tudengifilm; tartu; anders; poliitiline; aleksander; kunstihoone; kuraator
5,6,5,7,6,6,9,6,0,13,laimre; graafika; tudengifilm; tartu; aleksander; poliitiline; kunstihoone; kuraator; härm; anders
5,7,6,6,6,7,7,6,0,13,laimre; graafika; härm; tudengifilm; tartu; anders; poliitiline; aleksander; kunstihoone; kuraator
4,6,7,7,6,6,7,7,0,13,laimre; graafika; härm; tudengifilm; tartu; anders; aleksander; poliitiline; kunstihoone; kuraator
