EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
4,4,4,4,4,4,4,4,0,12,energia; koostöö; nõukogude; brigaad
