EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
7,2,6,3,2,6,4,7,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
7,2,6,3,2,6,4,6,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
6,2,5,3,2,6,4,6,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
6,3,3,4,2,6,3,6,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
6,4,2,4,3,6,5,5,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
5,4,4,4,4,5,4,5,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
6,4,3,3,3,5,5,6,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
4,3,4,4,5,4,4,7,4,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
4,5,4,4,5,4,3,6,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
4,7,4,4,5,5,5,4,2,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
4,7,4,4,5,4,4,5,3,10,loosung; toimetus; raadio; film; kirjandus; režissöör; televisioon; saade
