EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
8,5,6,4,2,6,6,6,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
8,5,8,4,2,6,6,5,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
8,5,8,5,2,7,6,5,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
7,5,7,5,2,7,6,5,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
7,5,8,5,2,7,5,6,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
7,6,7,6,3,7,6,6,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
3,5,8,6,6,6,4,7,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
3,5,7,6,7,5,6,7,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
2,5,7,6,8,5,5,4,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
3,7,7,6,9,6,5,5,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
2,6,7,6,8,6,6,6,7,13,ants; salme; janek; laevaliiklus; rahvakultuurifestival; tartu; komisjon; euro; euroopa
