EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,3,4,1,1,0,4,3,0,11,piloot; leningrad; eesti; volga
3,3,4,1,1,0,3,3,0,11,piloot; leningrad; eesti; volga
3,3,3,1,2,0,3,3,0,11,piloot; leningrad; eesti; volga
3,2,2,1,2,1,3,3,0,11,piloot; leningrad; eesti; volga
3,0,1,1,3,1,2,3,0,11,piloot; leningrad; eesti; volga
3,2,1,1,3,2,3,3,0,11,piloot; leningrad; eesti; volga
3,1,0,4,3,3,4,3,0,11,piloot; leningrad; eesti; volga
2,1,1,4,4,1,3,3,0,11,piloot; leningrad; eesti; volga
2,1,1,4,3,1,3,3,0,11,piloot; leningrad; eesti; volga
0,1,4,4,3,2,3,3,0,11,piloot; leningrad; eesti; volga
0,2,3,3,3,3,3,2,0,11,piloot; leningrad; eesti; volga
