EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,5,6,6,5,5,5,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,6,5,5,5,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,6,5,5,6,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,6,4,6,6,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,5,6,6,4,6,6,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,6,4,6,6,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,6,4,6,6,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,5,5,6,6,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,5,5,6,6,6,5,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,5,6,6,6,6,6,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
6,6,6,5,6,6,6,6,6,11,tegutsemisaeg; jõulud; jõulurõõmud; aeg; vaba; süsteem
