EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,5,6,1,2,4,7,0,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht; nikerdamine
9,5,6,2,2,4,7,0,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht; nikerdamine
8,5,6,2,2,4,7,0,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht; nikerdamine
7,3,7,2,2,5,6,0,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht; nikerdamine
6,2,6,3,2,7,6,0,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht; nikerdamine
3,1,6,3,2,5,7,1,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht
3,3,6,4,3,5,5,1,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht
4,4,5,3,5,4,6,2,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht
1,5,5,5,8,5,7,2,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht
1,3,4,3,7,3,6,4,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht
1,3,5,5,7,5,5,4,0,14,ani; lava; hirm; näitleja; elmar; endel; paat; vanemuine; salulaht
