EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,8,9,6,6,5,8,8,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,8,9,6,6,6,8,9,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,8,9,6,6,6,8,9,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
9,8,9,6,6,7,8,9,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
8,7,9,6,6,8,8,9,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,8,8,6,6,8,8,9,0,12,soome; margo; eesti; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
8,8,8,9,8,8,9,9,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
6,8,9,8,7,8,8,9,0,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
7,8,7,9,8,9,9,9,0,12,soome; eesti; margo; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
3,7,7,8,9,9,8,9,0,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
2,6,6,8,8,8,9,8,0,12,margo; eesti; soome; vesi; võistlus; naisekandmine; ulrich; birgit; uusorg
