EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
6,6,6,5,6,6,4,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,6,6,5,6,6,4,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,6,6,5,5,6,5,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,6,6,5,5,6,5,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,6,6,5,5,6,5,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,6,6,5,5,6,6,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,6,5,6,6,6,6,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,5,5,6,6,6,6,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,5,5,6,6,6,6,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
6,6,5,6,6,6,5,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
5,5,5,6,6,6,6,6,0,12,koit; robert; friedrich; päike; faehlmann; hämarik
