EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
5,6,8,4,2,7,8,4,0,11,mereriik; peeter; meremees; meri; eesti; traditsioon; hierarhia; merekaru; järvelaid; mereakadeemia
5,6,8,4,2,7,8,4,0,11,mereriik; peeter; meremees; meri; eesti; traditsioon; hierarhia; merekaru; järvelaid; mereakadeemia
6,6,8,3,2,7,8,4,0,11,mereriik; peeter; meremees; meri; eesti; traditsioon; hierarhia; merekaru; järvelaid; mereakadeemia
6,8,8,3,2,6,7,4,0,11,mereriik; peeter; meremees; meri; eesti; traditsioon; merekaru; järvelaid; mereakadeemia
5,8,7,4,1,6,8,4,0,11,mereriik; peeter; meri; meremees; eesti; traditsioon; merekaru; järvelaid; mereakadeemia
5,8,8,7,2,7,8,3,0,11,mereriik; hierarhia; meri; meremees; eesti; traditsioon; peeter; merekaru; järvelaid; mereakadeemia
3,6,6,7,2,5,8,4,0,11,mereriik; peeter; meri; meremees; eesti; hierarhia; traditsioon; merekaru; järvelaid; mereakadeemia
3,4,8,5,3,6,8,4,0,11,mereriik; peeter; meremees; meri; eesti; hierarhia; traditsioon; merekaru; järvelaid; mereakadeemia
2,2,4,4,5,4,8,3,0,11,mereriik; peeter; meremees; hierarhia; eesti; meri; traditsioon; merekaru; järvelaid; mereakadeemia
3,3,7,5,5,3,6,3,0,11,mereriik; peeter; meremees; hierarhia; eesti; meri; traditsioon; merekaru; järvelaid; mereakadeemia
3,3,3,4,5,4,6,3,0,11,mereriik; peeter; meremees; hierarhia; eesti; meri; traditsioon; merekaru; järvelaid; mereakadeemia
