EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
4,2,2,3,3,3,2,3,0,11,jõhkard; signe; paavel; apaatsus; ants
4,2,2,3,3,4,2,3,0,11,jõhkard; signe; paavel; apaatsus; ants
4,2,2,3,3,3,3,3,0,11,jõhkard; signe; paavel; apaatsus; ants
4,2,2,3,3,3,4,3,0,11,paavel; jõhkard; signe; apaatsus; ants
5,2,2,3,3,3,4,3,0,11,paavel; ants; signe; jõhkard; apaatsus
5,2,2,3,3,3,4,3,0,11,paavel; ants; signe; jõhkard; apaatsus
4,3,3,2,3,4,4,3,0,11,paavel; ants; signe; jõhkard; apaatsus
3,3,3,3,3,4,4,3,0,11,paavel; ants; signe; jõhkard; apaatsus
3,3,3,2,4,4,4,3,0,11,paavel; ants; signe; jõhkard; apaatsus
2,3,4,2,3,3,3,3,0,11,ants; signe; jõhkard; apaatsus; paavel
2,3,4,2,2,4,4,3,0,11,paavel; ants; signe; jõhkard; apaatsus
