EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,8,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
9,9,9,9,9,9,9,9,9,11,kümnevõistleja; olümpia; andres; muusika; klassikaraadio; freddie; ooperidiiva; barcelona; mercury
