EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
12,12,12,12,12,12,12,12,12,15,rõõm; peeter; lasmann; tõnu; piret; jürgens; kriivan; toomas; naissoo; põlendik; kadri; autasu
