EstBERT,est-roberta,LaBSE,bertMulti,distilbertMulti,MiniLM_multi,MiniLM-L12_multi,multi_e5,xml_roberta,expected_amount,words
3,5,5,4,2,5,3,5,4,12,facebook; kristjan; trahv; port; karistus; euroopa
3,5,5,4,2,5,3,4,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,4,3,5,3,4,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,4,3,4,3,4,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,4,6,4,3,4,5,12,facebook; kristjan; trahv; port; karistus; euroopa
4,5,5,4,6,4,3,5,5,12,facebook; kristjan; trahv; port; karistus; euroopa
3,5,5,6,6,3,5,5,5,12,facebook; kristjan; trahv; port; karistus; euroopa
6,5,5,6,6,3,4,5,6,12,facebook; kristjan; trahv; port; karistus; euroopa
5,6,4,6,6,4,4,4,6,12,facebook; kristjan; trahv; port; karistus; euroopa
5,5,5,6,6,4,4,4,6,12,facebook; kristjan; trahv; port; karistus; euroopa
5,5,5,6,6,4,5,3,6,12,facebook; kristjan; trahv; port; karistus; euroopa
